longitude,latitude
4.843612,45.729237
-1.550442,47.203142
-1.64368,48.107474
0.686648,47.432609
2.208055,48.783682
-74.173722,40.606231
139.793285,35.645435
24.137042,56.923961
24.124289,56.951976
8.647503,50.105432
9.76883,52.398251
10.048008,53.549318
-68.902463,12.101022
18.420575,-33.918595
-8.597688,41.17794
-108.512531,45.781051
-115.210194,36.059914
26.089852,44.484589
-79.384228,43.644632
14.309852,46.62109
14.315468,46.617463
10.048008,53.549318
24.714942,59.435184
25.287428,54.691637
10.047057,53.550912
24.922446,60.204658
-93.25458,44.971408
8.631763,50.099697
8.598073,50.129995
-46.702253,-23.620044
6.097904,46.207429
-0.62905,51.522463
8.520195,47.38774
30.339978,59.91069
15.969413,45.792436
30.314446,59.935316
2.368248,48.910255
9.992591,56.070062
4.432138,51.923689
28.197517,-26.137957
-111.955031,40.756316
5.705215,52.543666
11.526173,48.139859
9.103571,45.476394
-122.040197,37.420567
20.486357,44.768296
7.487899,51.520894
9.171533,48.708602
14.460483,46.049968
14.488861,46.04225
9.147436,45.448684
9.147319,45.354074
103.920965,1.322589
15.465817,47.043339
-1.54109,53.793329
-74.126752,40.829926
6.113522,49.504919
-112.009445,33.41601
13.31538,38.161167
-76.620065,39.291768
8.744717,50.122376
8.619718,50.102755
144.82036,13.509529
-84.387874,33.758567
30.510193,50.445102
13.37386,52.43269
8.725955,50.116454
-87.954882,42.001171
16.618764,49.196817
26.11423,44.479796
6.767264,52.243834
-118.255186,34.048428
3.417531,6.426645
19.024715,50.261637
-113.607242,37.081472
80.248031,13.065477
9.529839,47.210015
4.886848,52.336612
151.193883,-33.915371
-43.218326,-22.964262
-73.631821,40.722759
114.206315,22.41966
30.3291,59.887231
18.085151,59.339137
14.505232,46.057422
-46.848808,-23.597933
-81.662322,30.331375
6.864338,52.2203
-6.347409,53.411166
1.509438,43.542557
17.961311,52.651023
5.95776,49.648448
-80.130014,26.289687
4.849211,52.392977
8.559163,47.433359
8.211035,47.446496
6.051976,49.49842
