lon,lat,geometry,index_right,OBJECTID,GP_RTP,GP_REX,GP_RAV,GP_RRG,GP_RCY,GP_RSE,GP_RSI,GP_RSY,Shape_Length,gp_gripreg,dist_meters
-3.75,29.0,POINT (-349762.7659094999 3533395.711036501),1489113.0,24498496.0,2.0,1.0,2.0,7.0,12.0,1.0,39.0,1997.0,5.717192280340876,3.0,94818.38653828374
-3.75,29.25,POINT (-349762.7659094999 3561378.205842858),1489113.0,24498496.0,2.0,1.0,2.0,7.0,12.0,1.0,39.0,1997.0,5.717192280340876,3.0,72331.80146051556
-3.75,29.5,POINT (-349762.7659094999 3589294.144142208),1489113.0,24498496.0,2.0,1.0,2.0,7.0,12.0,1.0,39.0,1997.0,5.717192280340876,3.0,52191.97523584141
-3.75,30.0,POINT (-349762.7659094999 3644924.229349858),1489113.0,24498496.0,2.0,1.0,2.0,7.0,12.0,1.0,39.0,1997.0,5.717192280340876,3.0,22988.034979759126
-3.75,30.25,POINT (-349762.7659094999 3672637.317994114),1489113.0,24498496.0,2.0,1.0,2.0,7.0,12.0,1.0,39.0,1997.0,5.717192280340876,3.0,14825.727088439044
-3.75,30.5,POINT (-349762.7659094999 3700281.733623195),1489113.0,24498496.0,2.0,1.0,2.0,7.0,12.0,1.0,39.0,1997.0,5.717192280340876,3.0,4294.443640761045
-3.75,30.75,POINT (-349762.7659094999 3727856.9498209287),1489114.0,24498497.0,2.0,1.0,2.0,7.0,12.0,1.0,39.0,1997.0,0.8064670736889902,3.0,22005.873990548025
-3.75,31.0,POINT (-349762.7659094999 3755362.4412754816),1489114.0,24498497.0,2.0,1.0,2.0,7.0,12.0,1.0,39.0,1997.0,0.8064670736889902,3.0,33442.03054750857
-3.75,31.25,POINT (-349762.7659094999 3782797.6837893697),1489114.0,24498497.0,2.0,1.0,2.0,7.0,12.0,1.0,39.0,1997.0,0.8064670736889902,3.0,48642.56905340419
-3.75,31.5,POINT (-349762.7659094999 3810162.1542895245),435783.0,23445166.0,3.0,1.0,1.0,7.0,504.0,2.0,39.0,1997.0,5.823360759752182,3.0,62534.36820038375
-3.75,31.75,POINT (-349762.7659094999 3837455.3308373215),435783.0,23445166.0,3.0,1.0,1.0,7.0,504.0,2.0,39.0,1997.0,5.823360759752182,3.0,35243.76402873331
-3.5,29.0,POINT (-325641.1958467757 3533395.711036501),,,,,,,,,,,,,
-3.5,29.25,POINT (-325641.1958467757 3561378.205842858),1489113.0,24498496.0,2.0,1.0,2.0,7.0,12.0,1.0,39.0,1997.0,5.717192280340876,3.0,88874.97408551279
-3.5,29.5,POINT (-325641.1958467757 3589294.144142208),1489113.0,24498496.0,2.0,1.0,2.0,7.0,12.0,1.0,39.0,1997.0,5.717192280340876,3.0,70524.46037335778
-3.5,29.75,POINT (-325641.1958467757 3617142.9952009427),1489113.0,24498496.0,2.0,1.0,2.0,7.0,12.0,1.0,39.0,1997.0,5.717192280340876,3.0,56328.164022814126
-3.5,30.0,POINT (-325641.1958467757 3644924.229349858),1489113.0,24498496.0,2.0,1.0,2.0,7.0,12.0,1.0,39.0,1997.0,5.717192280340876,3.0,44936.95360451411
-3.5,30.25,POINT (-325641.1958467757 3672637.317994114),1489113.0,24498496.0,2.0,1.0,2.0,7.0,12.0,1.0,39.0,1997.0,5.717192280340876,3.0,32362.54860954697
-3.5,30.5,POINT (-325641.1958467757 3700281.733623195),1489114.0,24498497.0,2.0,1.0,2.0,7.0,12.0,1.0,39.0,1997.0,0.8064670736889902,3.0,13082.585821498918
-3.5,30.75,POINT (-325641.1958467757 3727856.9498209287),1489114.0,24498497.0,2.0,1.0,2.0,7.0,12.0,1.0,39.0,1997.0,0.8064670736889902,3.0,45.81659058836549
-3.5,31.0,POINT (-325641.1958467757 3755362.4412754816),1489114.0,24498497.0,2.0,1.0,2.0,7.0,12.0,1.0,39.0,1997.0,0.8064670736889902,3.0,13123.213384287825
-3.5,31.25,POINT (-325641.1958467757 3782797.6837893697),1489114.0,24498497.0,2.0,1.0,2.0,7.0,12.0,1.0,39.0,1997.0,0.8064670736889902,3.0,33584.89000674604
-3.5,31.5,POINT (-325641.1958467757 3810162.1542895245),1489114.0,24498497.0,2.0,1.0,2.0,7.0,12.0,1.0,39.0,1997.0,0.8064670736889902,3.0,58408.33614645578
-3.5,31.75,POINT (-325641.1958467757 3837455.3308373215),435783.0,23445166.0,3.0,1.0,1.0,7.0,504.0,2.0,39.0,1997.0,5.823360759752182,3.0,37887.75463591463
-3.5,32.0,POINT (-325641.1958467757 3864676.6926386477),435783.0,23445166.0,3.0,1.0,1.0,7.0,504.0,2.0,39.0,1997.0,5.823360759752182,3.0,11259.079748482616
-3.25,29.0,POINT (-301519.6257840516 3533395.711036501),,,,,,,,,,,,,
-3.25,29.25,POINT (-301519.6257840516 3561378.205842858),,,,,,,,,,,,,
-3.25,29.5,POINT (-301519.6257840516 3589294.144142208),1489113.0,24498496.0,2.0,1.0,2.0,7.0,12.0,1.0,39.0,1997.0,5.717192280340876,3.0,90777.56276493477
-3.25,29.75,POINT (-301519.6257840516 3617142.9952009427),1489113.0,24498496.0,2.0,1.0,2.0,7.0,12.0,1.0,39.0,1997.0,5.717192280340876,3.0,78374.12564149982
-3.25,30.0,POINT (-301519.6257840516 3644924.229349858),1489113.0,24498496.0,2.0,1.0,2.0,7.0,12.0,1.0,39.0,1997.0,5.717192280340876,3.0,67681.12082977878
