lon,lat,cap_mid,annual_cf,t2m_mean,t2m_max,t2m_min
-5.25,19,35.015,0.262,27.89844543,45.2248865,6.163625014
-5.25,19.25,34.963,0.262,27.82898707,45.34905853,5.648616459
-5.25,19.5,34.437,0.262,27.78974903,45.59943818,5.561085361
-5.25,19.75,34.384,0.262,27.76598244,45.9271709,5.819607442
-5.25,20,34.329,0.261,27.81384817,46.2813665,5.823678656
-5.25,20.25,33.805,0.261,27.84852138,46.45032188,5.984491604
-5.25,20.5,33.75,0.26,28.03671144,46.76380535,6.261334147
-5.25,20.75,33.695,0.258,28.49309178,46.97957968,6.574817615
-5.25,21,33.172,0.257,29.03739787,46.90629783,6.93715565
-5.25,21.25,33.116,0.255,29.33441758,47.22385252,6.721381315
-5.25,21.5,33.059,0.254,29.43478292,47.60247541,6.464894841
-5.25,21.75,32.525,0.254,29.29056606,47.5719413,6.263369754
-5.25,22,32.48,0.254,29.09676487,47.53326477,5.768717269
-5.25,22.25,32.415,0.254,28.88868316,47.46608974,4.976866171
-5.25,22.5,30.315,0.254,28.88839858,47.62486708,4.726486518
-5.25,22.75,31.534,0.254,28.84396145,47.73071864,4.685774379
-5.25,23,31.786,0.254,28.63354703,47.66761483,4.522925824
-5.25,23.25,31.193,0.254,28.35505844,47.49051702,4.353970448
-5.25,23.5,31.085,0.255,28.01309525,47.23199494,4.221655997
-5.25,23.75,30.58,0.256,27.70804156,46.98772211,4.150409755
-5.25,24,29.667,0.256,27.65283615,46.82283795,4.557531142
-5.25,24.25,25.763,0.253,28.08704474,47.42741321,3.926492992
-5.25,24.5,22.787,0.249,28.69524256,48.4533591,3.993668021
-5.25,24.75,29.303,0.248,28.73276572,48.57956673,4.39264698
-5.25,25,29.65,0.249,28.55141247,48.28440373,4.410967443
-5.25,25.25,28.586,0.25,28.05305261,47.76939517,4.130053685
-5.25,25.5,29.208,0.25,27.62779406,47.366345,4.091377154
-5.25,25.75,29.299,0.25,27.41793119,47.35616697,3.376879119
